class,section,head,head_name,pos,term
CLASS I,SECTION I.,#2.,Inexistence,adverb,virtually
CLASS I,SECTION I.,#2.,Inexistence,phrase,non ens
CLASS I,SECTION I.,#3.,Substantiality,noun,substantiality
CLASS I,SECTION I.,#3.,Substantiality,noun,hypostasis
CLASS I,SECTION I.,#3.,Substantiality,noun,person
CLASS I,SECTION I.,#3.,Substantiality,noun,being
CLASS I,SECTION I.,#3.,Substantiality,noun,thing
CLASS I,SECTION I.,#3.,Substantiality,noun,object
CLASS I,SECTION I.,#3.,Substantiality,noun,article
CLASS I,SECTION I.,#3.,Substantiality,noun,item
CLASS I,SECTION I.,#3.,Substantiality,noun,something
CLASS I,SECTION I.,#3.,Substantiality,noun,a being
CLASS I,SECTION I.,#3.,Substantiality,noun,an existence
CLASS I,SECTION I.,#3.,Substantiality,noun,creature
CLASS I,SECTION I.,#3.,Substantiality,noun,body
CLASS I,SECTION I.,#3.,Substantiality,noun,substance
CLASS I,SECTION I.,#3.,Substantiality,noun,flesh and blood
CLASS I,SECTION I.,#3.,Substantiality,noun,stuff
CLASS I,SECTION I.,#3.,Substantiality,noun,substratum
CLASS I,SECTION I.,#3.,Substantiality,noun,matter
CLASS I,SECTION I.,#3.,Substantiality,noun,corporeity
CLASS I,SECTION I.,#3.,Substantiality,noun,element
CLASS I,SECTION I.,#3.,Substantiality,noun,essential nature
CLASS I,SECTION I.,#3.,Substantiality,noun,groundwork
CLASS I,SECTION I.,#3.,Substantiality,noun,materiality
CLASS I,SECTION I.,#3.,Substantiality,noun,substantialness
CLASS I,SECTION I.,#3.,Substantiality,noun,vital part
CLASS I,SECTION I.,#3.,Substantiality,noun,world
CLASS I,SECTION I.,#3.,Substantiality,noun,plenum
CLASS I,SECTION I.,#3.,Substantiality,adjective,substantive
CLASS I,SECTION I.,#3.,Substantiality,adjective,substantial
CLASS I,SECTION I.,#3.,Substantiality,adjective,hypostatic
CLASS I,SECTION I.,#3.,Substantiality,adjective,personal
CLASS I,SECTION I.,#3.,Substantiality,adjective,bodily
CLASS I,SECTION I.,#3.,Substantiality,adjective,tangible
CLASS I,SECTION I.,#3.,Substantiality,adjective,corporeal
CLASS I,SECTION I.,#3.,Substantiality,adverb,substantially
CLASS I,SECTION I.,#3.,Substantiality,adverb,"bodily, essentially"
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,unsubstantiality
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,insubstantiality
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,nothingness
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,nihility
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,no degree
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,no part
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,no quantity
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,no thing
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,nothing
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,naught
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,nil
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,nullity
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,zero
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,cipher
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,no one
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,nobody
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,never a one
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,ne'er a one
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,no such thing
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,none in the world
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,nothing whatever
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,nothing at all
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,nothing on earth
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,not a particle
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,all talk
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,moonshine
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,stuff and nonsense
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,matter of no importance
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,matter of no consequence
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,thing of naught
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,man of straw
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,John Doe and Richard Roe
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,faggot voter
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,nominis umbra
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,nonentity
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,flash in the pan
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,vox et praeterea nihil
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,shadow
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,phantom (fallacy of vision)
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,dream
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,ignis fatuus
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,"such stuff as dreams are made of"""
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,air
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,thin air
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,vapor
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,bubble
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,"baseless fabric of a vision"""
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,mockery
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,hollowness
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,blank
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,void
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,inanity
CLASS I,SECTION I.,#4.,Unsubstantiality,noun,fool's paradise
CLASS I,SECTION I.,#4.,Unsubstantiality,verb,vanish
CLASS I,SECTION I.,#4.,Unsubstantiality,verb,evaporate
CLASS I,SECTION I.,#4.,Unsubstantiality,verb,fade
CLASS I,SECTION I.,#4.,Unsubstantiality,verb,dissolve
CLASS I,SECTION I.,#4.,Unsubstantiality,verb,melt away
CLASS I,SECTION I.,#4.,Unsubstantiality,verb,disappear
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,unsubstantial
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,baseless
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,groundless
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,ungrounded
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,without foundation
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,having no foundation
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,visionary
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,immaterial
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,spectral
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,dreamy
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,shadowy
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,ethereal
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,airy
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,cloud built
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,cloud formed
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,gossamery
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,illusory
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,"insubstantial, unreal"
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,vacant
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,vacuous
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,empty
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,eviscerated
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,blank
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,hollow
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,nominal
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,null
CLASS I,SECTION I.,#4.,Unsubstantiality,adjective,inane
CLASS I,SECTION I.,#4.,Unsubstantiality,phrase,there's nothing in it
CLASS I,SECTION I.,#4.,Unsubstantiality,phrase,"an ocean of dreams without a sound"""
CLASS I,SECTION I.,#5.,Intrinsicality,noun,intrinsicality
CLASS I,SECTION I.,#5.,Intrinsicality,noun,inbeing
CLASS I,SECTION I.,#5.,Intrinsicality,noun,inherence
CLASS I,SECTION I.,#5.,Intrinsicality,noun,inhesion
CLASS I,SECTION I.,#5.,Intrinsicality,noun,subjectiveness
CLASS I,SECTION I.,#5.,Intrinsicality,noun,ego
CLASS I,SECTION I.,#5.,Intrinsicality,noun,egohood
CLASS I,SECTION I.,#5.,Intrinsicality,noun,essence
CLASS I,SECTION I.,#5.,Intrinsicality,noun,noumenon
CLASS I,SECTION I.,#5.,Intrinsicality,noun,essentialness
CLASS I,SECTION I.,#5.,Intrinsicality,noun,essential part
CLASS I,SECTION I.,#5.,Intrinsicality,noun,quintessence
CLASS I,SECTION I.,#5.,Intrinsicality,noun,incarnation
CLASS I,SECTION I.,#5.,Intrinsicality,noun,quiddity
CLASS I,SECTION I.,#5.,Intrinsicality,noun,gist
CLASS I,SECTION I.,#5.,Intrinsicality,noun,pith
CLASS I,SECTION I.,#5.,Intrinsicality,noun,marrow
CLASS I,SECTION I.,#5.,Intrinsicality,noun,core
CLASS I,SECTION I.,#5.,Intrinsicality,noun,sap
CLASS I,SECTION I.,#5.,Intrinsicality,noun,lifeblood
CLASS I,SECTION I.,#5.,Intrinsicality,noun,backbone
CLASS I,SECTION I.,#5.,Intrinsicality,noun,heart
CLASS I,SECTION I.,#5.,Intrinsicality,noun,soul
CLASS I,SECTION I.,#5.,Intrinsicality,noun,important part
CLASS I,SECTION I.,#5.,Intrinsicality,noun,principle
CLASS I,SECTION I.,#5.,Intrinsicality,noun,nature
CLASS I,SECTION I.,#5.,Intrinsicality,noun,constitution
CLASS I,SECTION I.,#5.,Intrinsicality,noun,character
CLASS I,SECTION I.,#5.,Intrinsicality,noun,type
CLASS I,SECTION I.,#5.,Intrinsicality,noun,quality
CLASS I,SECTION I.,#5.,Intrinsicality,noun,crasis
CLASS I,SECTION I.,#5.,Intrinsicality,noun,diathesis
CLASS I,SECTION I.,#5.,Intrinsicality,noun,habit
